"Id" "Survey" "Country" "Aa" "Ab" "Ac" "Ad" "Ae" "Af" "ST01" "SU02" "D03" "ST04" "SU05" "D06" "D07" "SU08" "ST09" "SU10" "D11" "ST12" "SU13" "D14" "D15" "SU16" "ST17" "SU18" "D19" "ST20" "SU21" "D22" "D23" "SU24" "ST25" "SU26" "D27" "ST28" "SU29" "D30" "D31" "SU32" "Ca" "Cb" "Cc" "Cd" "Ce" "Cf" "Cg" "Ch" "Da" "Db" "Dc" "Dd" "De" "Df" "Dg" "Dh" "Di" "Dj" "Age" "Gender" "Years" "Courses" "Hours" "Degree" "Lar" "Lat" "d_sm" "d_ri" "d_ue" "su_lp" "su_um" "su_sb" "st_os" "st_tm" "Deep" "Surf" "Stra" "Deep_adj" "Surf_adj" "Stra_adj" "Su_Ti" "D_Su" "StatConf" "Value" "Interest" "MathConf" "Affect" "Attitude" "FSVdeep" "FSVstra" "FSVsurf" "FSOdeep" "FSOstra" "FSOsurf" "Points" "Fails"
"1" 255 2014 6 3 1 2 1 1 1 4 2 4 4 2 4 4 3 3 2 3 3 3 4 3 2 3 2 4 2 3 3 2 2 4 4 4 4 3 4 4 3 2 4 3 4 3 2 3 4 3 4 4 5 4 2 4 3 4 4 53 2 36 2 20 2 6 3 15 15 13 10 11 10 14 13 43 31 27 3.58333325386047 2.58333325386047 3.375 13 12 5 8 8 9 7 37 -0.405394196510315 0.454818725585938 -0.708878219127655 -0.294191151857376 0.451454877853394 -0.664692580699921 25 0
"2" 62 2014 6 2 2 2 2 1 1 4 2 4 4 4 2 3 4 4 1 4 1 3 2 3 4 4 2 3 1 2 2 3 4 2 4 2 2 3 3 4 5 4 4 4 5 5 3 2 4 4 3 3 4 3 2 3 3 2 4 55 1 34 1 20 1 6 4 13 10 12 9 12 17 14 8 35 38 22 2.91666674613953 3.16666674613953 2.75 18 13 6 7 6 6 6 31 -1.02204120159149 -0.356176227331162 1.04403007030487 -1.14509677886963 -0.437079161405563 1.15162706375122 12 0
"3" 101 2014 6 4 1 1 1 1 1 3 1 4 4 2 3 4 1 3 1 4 4 2 4 2 3 3 1 4 3 2 4 3 3 4 4 3 5 2 4 3 5 3 5 4 4 3 4 4 2 1 4 4 1 4 1 3 1 1 5 49 2 1 3 16 1 6 3 15 16 11 7 8 12 13 16 42 27 29 3.5 2.25 3.625 12 17 2 9 8 2 4 25 -0.474810659885406 0.997893154621124 -0.70745849609375 -0.313284665346146 1.00096571445465 -0.658883571624756 24 0
"4" 301 2014 6 4 2 3 2 1 1 3 3 4 4 3 4 4 2 3 1 3 3 2 4 3 2 3 1 3 3 3 3 3 2 3 2 3 3 3 4 4 3 3 4 4 4 3 4 4 3 2 4 5 2 5 1 5 4 2 5 53 1 NA NA 4 1 9 4 13 15 14 7 11 9 12 13 42 27 25 3.5 2.25 3.125 13 16 3 9 10 4 9 35 -0.450439780950546 0.227141812443733 -1.04086494445801 -0.313824504613876 0.214566946029663 -0.98044741153717 10 3
"5" 262 2014 6 3 2 2 1 2 1 4 2 5 3 4 4 4 3 4 2 4 2 3 4 3 3 4 1 4 3 2 3 3 4 4 3 3 5 3 3 4 4 2 4 4 3 3 3 4 4 3 4 4 4 4 2 5 5 3 3 49 1 22 3 14 2 6 5 16 14 14 8 12 14 16 13 44 34 29 3.66666674613953 2.83333325386047 3.625 12 15 5 7 8 7 10 37 0.038677375763655 0.847947061061859 0.535022914409637 0.044373754411936 0.867166221141815 0.515603601932526 22 0
"6" 29 2014 6 4 2 1 1 1 1 4 3 5 4 3 5 5 4 4 1 5 3 1 5 4 2 3 2 4 3 4 5 4 2 4 2 5 4 2 5 5 3 3 5 4 4 3 4 5 4 3 5 4 4 4 3 4 3 3 5 38 2 5 2 14 2 6 4 19 20 18 8 10 11 15 14 57 29 29 4.75 2.41666674613953 3.625 14 18 6 10 8 7 7 38 1.60734605789185 0.625882923603058 -0.768175065517426 1.71884429454803 0.735809087753296 -0.925368547439575 21 0
"7" 157 2014 6 4 1 2 2 1 1 5 2 4 2 2 3 4 4 2 1 5 2 1 5 2 3 4 1 4 1 1 4 3 2 1 1 4 1 1 4 4 4 4 5 4 4 4 5 5 3 2 4 4 5 5 1 4 4 2 4 50 1 20 1 10 1 8 3 17 17 12 5 5 13 12 6 46 23 18 3.83333325386047 1.91666662693024 2.25 15 19 3 8 9 7 8 35 0.467806607484818 -1.09462487697601 -0.894018113613129 0.49638557434082 -1.06382811069489 -0.919416606426239 21 1
"8" 104 2014 6 3 1 2 1 1 1 4 2 4 5 4 3 4 2 4 2 3 4 2 4 2 3 3 2 4 4 3 2 2 4 4 4 4 4 2 3 4 4 2 4 4 5 3 3 3 3 2 4 4 3 4 1 4 1 1 5 37 2 1 3 34 1 6 3 15 13 11 10 11 13 15 17 39 34 32 3.25 2.83333325386047 4 13 14 3 9 8 4 5 29 -0.653653502464294 1.33179891109467 0.343972355127335 -0.596960306167603 1.28480112552643 0.389943897724152 31 0
"9" 302 2014 6 2 1 2 1 1 1 4 1 5 5 2 4 5 4 4 1 4 4 1 4 3 4 4 1 5 4 2 4 4 2 4 4 5 5 1 4 5 3 3 5 4 5 3 3 5 5 4 2 4 5 4 4 5 4 4 2 37 1 NA NA 32 1 5 3 19 17 16 7 6 13 16 18 52 26 34 4.33333349227905 2.16666674613953 4.25 16 17 8 4 8 9 9 38 0.782971560955048 1.4590357542038 -0.7424595952034 0.96551114320755 1.52078306674957 -0.843619227409363 24 0
"10" 74 2014 6 3 2 1 1 1 2 4 2 4 4 4 4 4 2 4 2 4 4 2 4 4 4 4 2 4 2 4 4 4 4 4 4 4 2 2 4 4 4 2 4 4 5 4 4 4 4 1 4 4 2 2 1 1 1 1 4 42 2 1 2 18 1 5 5 16 16 16 10 12 14 16 12 48 36 28 4 3 3.5 15 16 2 8 6 3 2 21 0.400906711816788 0.421057760715485 0.685157418251038 0.33252027630806 0.422199010848999 0.627466678619385 26 0
"11" 303 2014 6 2 2 2 2 2 2 4 2 4 4 4 4 4 2 4 2 4 4 3 4 3 3 3 2 3 3 2 3 4 4 3 2 3 4 2 3 4 4 3 3 4 4 4 3 3 3 3 4 5 4 4 4 4 4 3 4 37 1 NA NA 24 1 6 6 14 14 15 8 11 13 14 15 43 32 29 3.58333325386047 2.66666674613953 3.625 14 13 7 8 9 7 8 39 -0.18771567940712 0.930868625640869 0.207606181502342 -0.144009038805962 0.920170962810516 0.207136452198029 31 0
"12" 136 2014 6 5 1 2 1 1 1 5 1 4 5 3 4 4 1 5 2 4 4 1 4 4 4 5 1 3 4 2 3 3 4 5 4 5 5 1 3 5 5 3 4 5 3 5 3 4 3 3 4 4 5 4 2 3 5 4 4 34 2 16 7 16 2 8 3 16 14 16 8 7 14 20 18 46 29 38 3.83333325386047 2.41666674613953 4.75 14 16 5 8 8 9 8 38 0.139268592000008 2.04135060310364 0.263204604387283 0.246734589338303 2.04377102851868 0.214878767728806 31 0
"13" 304 2014 6 4 1 3 1 1 2 5 2 5 4 2 4 5 1 4 2 5 4 2 5 4 1 3 2 4 3 2 4 4 2 4 4 4 2 3 3 4 4 3 5 5 3 4 4 4 3 2 4 3 1 4 1 2 2 1 4 34 2 NA NA 22 1 8 4 18 17 16 10 9 8 16 13 51 27 29 4.25 2.25 3.625 13 18 3 8 7 2 4 24 1.08957886695862 0.481138467788696 -0.690123617649078 1.20205116271973 0.53351765871048 -0.785256624221802 23 0
"14" 305 2014 6 2 1 3 1 1 1 4 4 3 3 2 4 4 2 4 1 2 3 2 4 2 3 4 2 4 2 4 4 2 4 4 4 2 4 3 5 4 2 2 5 2 3 3 4 5 4 2 5 5 2 4 1 3 2 1 5 34 2 NA NA 20 1 6 3 11 17 12 11 11 11 16 12 40 33 28 3.33333325386047 2.75 3.5 12 16 3 10 9 3 5 30 -0.96002984046936 0.481348693370819 -0.35610643029213 -0.905974328517914 0.450700283050537 -0.280256301164627 25 0
"15" 306 2014 6 4 1 1 1 1 1 3 1 5 2 2 4 4 4 2 1 4 1 2 4 4 2 3 2 5 1 2 5 2 2 1 4 3 1 2 5 5 4 3 1 3 4 2 4 2 4 2 2 4 1 2 5 2 3 1 4 35 1 NA NA 18 1 6 3 17 18 15 8 8 12 9 5 50 28 14 4.16666650772095 2.33333325386047 1.75 13 10 7 6 6 2 5 26 0.711043119430542 -1.67350244522095 -0.860527634620667 0.688537180423737 -1.61446034908295 -0.903301656246185 21 0
"16" 196 2014 6 1 1 1 1 1 1 5 2 4 4 4 3 3 3 2 2 3 3 4 3 3 2 3 1 3 2 2 3 3 2 3 3 3 3 3 3 3 4 5 3 4 5 5 4 3 5 2 2 4 1 4 2 3 1 1 5 46 2 2 5 16 2 3 3 13 12 12 8 13 11 13 12 37 32 25 3.08333325386047 2.66666674613953 3.125 20 14 4 7 8 2 4 25 -1.00979018211365 0.191566333174706 -0.359348267316818 -0.947653770446777 0.136730164289474 -0.230944082140923 0 3
"17" 88 2014 6 4 2 3 2 1 1 3 2 4 5 2 4 3 2 5 2 4 3 3 4 4 3 2 1 3 4 1 4 4 3 5 4 4 4 2 2 4 3 3 4 4 2 3 2 4 3 4 4 4 5 4 2 4 5 5 4 33 2 15 3 4 1 9 4 15 13 16 9 8 11 15 16 44 28 31 3.66666674613953 2.33333325386047 3.875 11 14 6 8 8 10 9 41 -0.354640305042267 1.10342001914978 -0.683293759822845 -0.194231450557709 1.09024405479431 -0.672218382358551 31 0
"18" 154 2014 6 3 1 1 1 1 1 3 2 5 2 3 4 5 4 1 3 4 1 2 5 3 4 1 3 3 1 1 5 5 3 1 5 2 1 2 4 4 3 3 5 3 3 4 3 5 3 2 4 3 4 3 1 3 1 1 4 32 2 11 4 10 2 5 3 14 19 16 13 8 14 6 5 49 35 11 4.08333349227905 2.91666674613953 1.375 13 16 3 8 6 5 4 26 0.723727881908417 -1.98691403865814 -0.140074357390404 0.574988901615143 -1.93386912345886 -0.227515488862991 20 0
"19" 214 2014 6 3 2 2 1 1 1 4 2 5 4 2 4 4 2 4 2 4 2 3 4 4 3 3 3 4 3 1 2 1 3 3 4 4 3 3 2 4 2 2 4 4 3 2 2 3 4 2 3 4 2 3 2 3 3 2 2 44 2 7 2 22 1 6 4 17 12 13 11 9 10 14 12 42 30 26 3.5 2.5 3.25 11 13 4 5 7 4 6 26 -0.168932050466537 0.21960674226284 -0.204854875802994 -0.107889294624329 0.207008957862854 -0.214075654745102 22 0
"20" 123 2014 6 2 1 1 1 1 1 4 3 4 4 4 3 4 4 2 4 4 3 4 4 4 4 3 1 4 2 4 4 5 4 4 5 4 2 4 4 5 4 2 5 4 4 4 4 3 4 1 2 2 2 2 1 2 1 1 3 29 1 1 5 20 1 4 3 16 16 17 13 16 16 13 11 49 45 24 4.08333349227905 3.75 3 14 16 2 5 4 3 3 17 0.48202919960022 -0.171593502163887 1.33119106292725 0.287232100963593 -0.166681215167046 1.26064467430115 9 3
